K,metric,mean,std,n,se,ci95_lo,ci95_hi
27,test_PR_AUC,0.8691102703725762,0.03040094202538041,100,0.003040094202538041,0.8630780639214806,0.8751424768236717
28,test_PR_AUC,0.8694181537256641,0.029904471109262316,100,0.0029904471109262316,0.8634844578753417,0.8753518495759866
29,test_PR_AUC,0.8688256401077602,0.030379264604301945,100,0.0030379264604301947,0.8627977349273017,0.8748535452882187
30,test_PR_AUC,0.8686813627974554,0.030220556266382582,100,0.0030220556266382583,0.8626849487944427,0.8746777768004682
31,test_PR_AUC,0.8688665237467244,0.030270906180265837,100,0.0030270906180265835,0.8628601192284479,0.8748729282650008
32,test_PR_AUC,0.8686133428758092,0.030162668931347607,100,0.0030162668931347607,0.8626284149759422,0.8745982707756761
33,test_PR_AUC,0.8686150247325513,0.030253080264414624,100,0.0030253080264414623,0.8626121572627157,0.8746178922023868
34,test_PR_AUC,0.8675127984373906,0.030240086053543145,100,0.0030240086053543143,0.8615125093009034,0.8735130875738778
35,test_PR_AUC,0.8667491219099073,0.030226573838982113,100,0.003022657383898211,0.8607515138899385,0.872746729929876
36,test_PR_AUC,0.86567690441791,0.030540390910477142,100,0.0030540390910477142,0.8596170282826455,0.8717367805531745
37,test_PR_AUC,0.8641048021872818,0.030029638673961592,100,0.0030029638673961592,0.8581462703765929,0.8700633339979708
38,test_PR_AUC,0.8630919343349451,0.03020141297101442,100,0.003020141297101442,0.8570993187770503,0.86908454989284
39,test_PR_AUC,0.8622868495489213,0.03041801198001749,100,0.003041801198001749,0.8562512560484904,0.8683224430493522
40,test_PR_AUC,0.8627959743409049,0.030717437232300054,100,0.0030717437232300054,0.8567009683743427,0.8688909803074671
41,test_PR_AUC,0.8614323646815656,0.031128526854431092,100,0.003112852685443109,0.8552557896153181,0.8676089397478131
42,test_PR_AUC,0.8600854008532663,0.03132304542498278,100,0.003132304542498278,0.8538702290825101,0.8663005726240226
43,test_PR_AUC,0.8591526226895,0.03119310467032353,100,0.003119310467032353,0.8529632339835534,0.8653420113954465
44,test_PR_AUC,0.8595758664010229,0.03135867545381813,100,0.003135867545381813,0.8533536248595466,0.8657981079424992
45,test_PR_AUC,0.8582120858363491,0.03154143026324068,100,0.0031541430263240682,0.8519535817757888,0.8644705898969094
46,test_PR_AUC,0.8567547723582462,0.031859796010339295,100,0.0031859796010339295,0.8504330976264661,0.8630764470900262
47,test_PR_AUC,0.8567098744544677,0.03205106363184022,100,0.0032051063631840216,0.8503502480770004,0.8630695008319349
48,test_PR_AUC,0.8563792087391949,0.03204551628836065,100,0.003204551628836065,0.8500206830750245,0.8627377344033653
49,test_PR_AUC,0.8552515217491724,0.03185263652826397,100,0.003185263652826397,0.8489312676139622,0.8615717758843826
50,test_PR_AUC,0.853970903157791,0.032312084520826054,100,0.0032312084520826055,0.8475594845730594,0.8603823217425226
51,test_PR_AUC,0.8527122096757571,0.03280975263594431,100,0.0032809752635944308,0.8462020429399973,0.8592223764115169
52,test_PR_AUC,0.8532437715407596,0.032119059938088064,100,0.0032119059938088062,0.8468706532209421,0.859616889860577
53,test_PR_AUC,0.8530661378562584,0.03248516419229669,100,0.003248516419229669,0.8466203765097161,0.8595118992028007
54,test_PR_AUC,0.8538199658135889,0.030861016830681185,100,0.0030861016830681185,0.8476964705397257,0.859943461087452
55,test_PR_AUC,0.8534255080030856,0.030455944405480502,100,0.0030455944405480503,0.8473823878864928,0.8594686281196784
1,test_ROC_AUC,0.8983656412417474,0.023965581036067378,100,0.002396558103606738,0.8936103500271092,0.9031209324563857
2,test_ROC_AUC,0.9125021070375052,0.023093661823727057,100,0.0023093661823727057,0.9079198235110209,0.9170843905639896
3,test_ROC_AUC,0.9266125860373648,0.01986105717428884,100,0.0019861057174288843,0.9226717214051997,0.93055345066953
4,test_ROC_AUC,0.9247043124034274,0.020785783906984424,100,0.0020785783906984425,0.9205799619254024,0.9288286628814525
